,price,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,rooms_0,rooms_1,rooms_2,rooms_3,rooms_4,bathrooms_1,bathrooms_2,bathrooms_3,exterior_False,exterior_True,size_standard,distance_standard,municipality_standard,floor_standard,hasLift_standard
74,666.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.7443164766261664,0.7680350168057355,-0.4476358725108889,0.7671780889277882,0.604025855683706
75,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.1968337975693102,1.1812298458364379,0.24586183934677466,-1.2512439464726683,0.604025855683706
76,630.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9705751370977383,1.706974615586688,-1.6196846645794054,-1.2512439464726683,0.604025855683706
77,635.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10415350014222806,-0.06691910192779557,-2.1822300307023257,0.5868697173249323,0.604025855683706
78,725.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6877518115082735,1.6592237074996437,0.35147764727483816,0.7671780889277882,0.604025855683706
79,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.2354468025000873,-1.171330544638134,0.32551814451090866,0.7671780889277882,-0.25623866340318285
80,690.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.46149315103670163,-0.8590509173006946,0.32551814451090866,0.06833862980017628,-0.25623866340318285
81,700.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.5182701280895523,-1.1566255272576904,0.32551814451090866,0.5868697173249323,0.604025855683706
82,730.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.40492848591880864,0.39418822878753845,0.26431082507403486,0.7671780889277882,-0.25623866340318285
83,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.3304121606137999,-0.9631171941469098,0.32551814451090866,0.7671780889277882,0.604025855683706
84,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.5001061559674789,0.41770009723648927,1.6338742882066621,1.252531525615225,0.604025855683706
85,690.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.2354468025000873,-0.8527487669947903,0.32551814451090866,-1.2512439464726683,-0.25623866340318285
86,750.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9705751370977383,-0.1890030649049937,0.9114486618826325,1.252531525615225,0.604025855683706
87,700.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.2354468025000873,-1.1718961222296893,0.32551814451090866,-1.2663960811836383,-0.25623866340318285
88,720.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.8394941466748367,-0.5674552704544286,0.32551814451090866,1.252531525615225,0.604025855683706
89,595.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.10415350014222806,1.158849132570598,-2.4089263620547476,0.7671780889277882,-0.25623866340318285
90,700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.6698001513211578,-1.150808157744548,0.32551814451090866,0.7671780889277882,-0.25623866340318285
91,700.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0271398022156313,2.3074564242210602,-2.5465390913051835,0.7671780889277882,-0.25623866340318285
92,675.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.705915783630347,2.3549649419117236,-2.9767006375075664,0.5868697173249323,-0.25623866340318285
