,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,floor,hasLift
165,720.0,697.554347826087,69.0,1,697.96875,694.5382165605096,705.0909090816765,29084,701.7571428571429,1
166,750.0,697.554347826087,59.0,1,697.96875,694.5382165605096,705.6331360946746,8400,715.6060606060603,0
167,740.0,697.554347826087,45.0,1,697.96875,694.5382165605096,705.6331360946746,7720,697.9574468085107,0
168,740.0,697.554347826087,60.0,1,697.96875,694.5382165605096,705.6331360946746,6670,701.7571428571429,1
169,730.0,689.625,45.0,0,690.8571428571429,694.5382165605096,705.6331360946746,854,670.1111111111111,1
170,620.0,697.554347826087,75.0,1,705.2307692307693,694.5382165605096,705.499971553305,21044,670.1111111111111,1
171,695.0,697.554347826087,67.0,1,697.96875,694.5382165605096,705.4050746928433,16111,670.1111111111111,0
172,650.0,697.554347826087,95.0,1,705.2307692307693,694.5382165605096,696.9979010385982,29884,670.1111111111111,1
173,675.0,697.554347826087,68.0,1,697.96875,694.5382165605096,705.0909090816765,30461,670.1111111111111,1
174,695.0,697.554347826087,65.0,1,697.96875,694.5382165605096,705.6331360946746,8484,670.1111111111111,0
176,675.0,697.554347826087,35.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1016,670.1111111111111,-1
177,730.0,697.554347826087,60.0,0,705.2307692307693,694.5382165605096,705.499971553305,20756,697.9574468085107,0
178,690.0,697.554347826087,85.0,1,697.96875,694.5382165605096,705.499971553305,20804,670.1111111111111,1
179,750.0,697.554347826087,45.0,0,682.5166666666667,694.5382165605096,705.6331360946746,5089,678.3448275862069,0
180,600.0,689.625,32.0,1,690.8571428571429,694.5382165605096,705.6331360946746,6325,701.7571428571429,1
181,723.0,689.625,25.0,1,690.8571428571429,694.5382165605096,717.4675412402383,16775,670.1111111111111,1
182,725.0,697.554347826087,50.0,1,682.5166666666667,694.5382165605096,705.6331360946746,10503,701.7571428571429,1
183,750.0,697.554347826087,67.0,1,705.2307692307693,694.5382165605096,704.998508748505,11657,670.1111111111111,-1
184,600.0,697.554347826087,45.0,1,697.96875,694.5382165605096,646.4573863636364,41003,670.1111111111111,-1
185,750.0,697.554347826087,70.0,1,705.2307692307693,694.5382165605096,734.6474178380435,14642,696.1785714285714,0
187,720.0,697.554347826087,54.0,1,682.5166666666667,694.5382165605096,705.6331360946746,3296,678.3448275862069,0
188,550.0,619.9090096269214,75.0,1,697.96875,677.5945945945946,551.8827731805424,53247,670.1111111111111,0
189,720.0,697.554347826087,49.0,0,705.2307692307693,694.5382165605096,705.6331360946746,8411,697.9574468085107,0
190,740.0,697.554347826087,65.0,1,705.2307692307693,694.5382165605096,705.6331360946746,8443,701.7571428571429,1
192,720.0,697.554347826087,56.0,0,697.96875,694.5382165605096,705.6331360946746,6691,715.6060606060603,0
193,650.0,697.554347826087,31.0,0,682.5166666666667,694.5382165605096,705.6331360946746,1207,697.9574468085107,0
194,650.0,697.554347826087,96.0,1,697.96875,694.5382165605096,654.092671611573,43953,697.9574468085107,0
