,price,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality,size_standard,distance_standard
258,730.0,1,3,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,707.4023832481668,1.303094468860305,1.5245883144443912
259,710.0,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.5040062471069844,-1.1314411670936455
260,650.0,1,1,1,4.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.06797015383469766,-0.7656214037343134
261,600.0,0,2,2,-3.0,-1,0.0,1.0,0.0,0.0,0.0,0.0,646.4573863636364,0.18025418247338923,0.6040544384407699
262,740.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.8864440895941806,-0.5788753248717685
263,525.0,1,1,1,3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,654.092671611573,-0.9425861039135265,2.0835222439898473
264,750.0,1,0,1,4.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-1.2232961755102554,-1.1225411896293664
265,750.0,1,3,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,0.9662423829442303,1.0236576863040643
266,710.0,1,3,1,5.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,0.6855323113475013,0.9618949116597139
267,560.0,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-0.6057340179974517,-0.9296571952742153
268,600.0,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647,-0.8303020752748349,0.2303321088847072
269,720.0,1,1,1,-1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.7180180466361433,-0.9447718121747581
270,750.0,1,2,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.18025418247338923,-1.021342307945021
271,750.0,0,1,1,4.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.8303020752748349,-1.0082225135795753
272,750.0,1,0,1,4.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,1.8645146120537628,-0.6655733812048317
273,650.0,0,0,1,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-0.6618760323167975,-0.9280459924574062
274,650.0,1,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.499971553305,0.12411216815404345,0.3632179792996324
275,670.0,1,2,1,3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,641.3188116420554,1.022384397263576,0.8557089736376259
276,650.0,1,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505,-0.6618760323167975,-0.2700614516500168
277,750.0,1,1,1,2.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.3917222184682927,-0.8105049107739966
278,725.0,1,1,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-0.3811659607200686,-0.7932420234510416
279,620.0,0,0,1,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746,-2.065426390300442,-1.0748956206180105
280,680.0,1,1,1,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,-1.2232961755102554,-0.9663312403425376
281,750.0,1,3,1,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,714.6027704652122,1.6960885690957255,-0.2596269953125862
282,670.0,1,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,704.998508748505,-0.21273991776203124,-0.2700614516500168
283,600.0,1,3,1,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765,1.022384397263576,0.9861396778555086
284,750.0,1,2,1,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,719.8187226116132,0.7416743256668471,-0.2523382206651163
285,700.0,1,2,1,3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,696.4573863636364,-1.1671541611909095,-0.48933848262337487
286,695.0,0,1,1,1.0,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746,0.06797015383469766,-0.7859532488035716
