,price,size,distance,exterior,rooms,bathrooms,floor,hasLift,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,municipality
37,625.0,52.0,40445,1,2,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,658.9573863636364
38,700.0,40.0,1431,1,0,1,3,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
39,750.0,40.0,2417,1,0,1,0.5,1,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
40,650.0,35.0,1121,0,1,1,2,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
41,720.0,70.0,29099,1,3,1,2,0,0.0,0.0,0.0,1.0,0.0,0.0,705.0909090816765
42,699.0,52.0,7092,1,1,1,3,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
43,750.0,65.0,13081,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,650.7115809171166
44,695.0,65.0,13904,1,2,1,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,714.6027704652122
45,750.0,78.0,19719,1,2,2,-3.0,1,0.0,0.0,0.0,1.0,0.0,0.0,693.9090457691647
46,620.0,60.0,7981,1,2,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
47,500.0,28.0,769,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
48,550.0,38.0,10938,1,1,1,-3.0,0,0.0,0.0,0.0,1.0,0.0,0.0,650.7115809171166
49,750.0,46.0,1476,0,1,1,3,1,0.0,0.0,0.0,1.0,0.0,0.0,705.6331360946746
50,680.0,55.0,5097,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,705.6331360946746
51,700.0,50.0,32052,1,1,2,-3.0,-1,0.0,0.0,0.0,1.0,0.0,0.0,696.4573863636364
52,750.0,35.0,4047,1,1,1,-3.0,-1,0.0,0.0,1.0,0.0,0.0,0.0,705.6331360946746
